number,address,phone,build_year
1,Aşgabat şäheriniň 5-nji etrapçasynyň 3-nji topar Är Togrul gazy geçelgesiniň 26-njy jaýy,müdir: 42-95-87 kätip-nobatçy: 42-95-26,1970ý
2,Aşgabat şäheriniň Esgerler köçesiniň 64-nji jaýy,müdir: 34-30-82kätip-nobatçy: 34-05-00,1975ý
3,Aşgabat şäheriniň Şaja Batyrow köçesiniň 28-nji jaýy,müdir: 36-15-24kätip: 36-15-59,1992ý
4,2023. M.Çerkezow köçesiniň 2-nji jaýy,müdir: 21-02-66kätip: 21-02-64nobatçy: 21-02-63,2014ý
5,K.Taňrygulyýew köçesiniň 80-nji jaýy,müdir: 75-05-65 kätip: 75-05-66 nobatçy: 75-05-64,1966ý
6,Aşgabat şäheriniň Görogly köçesiniň 10-njy jaýy,müdir: 92-18-53kätip-nobatçy: 92-36-90 92-38-89,1949ý
7,Aşgabat şäheriniň Kemine köçesiniň 112-nji jaýy,müdir-kätip: 94-26-59 okuw müdiri: 94-03-97 94-17-72,1936ý
9,Aşgabat şäheriniň A.Muhammedow köçesiniň 80-nji jaýy,Müdir-nobatçy: 76-60-79 kätip: 76-89-37,1970ý
10,Aşgabat şäheriniň Arzuw ýaşaýyş toplumynyň Kollektornaýa köçesiniň 1-nji jaýy,kätip: 76-49-84nobatçy: 76-49-60,1961ý
11,Aşgabat şäheriniň K.Taňrygulyýew köçesiniň 2-nji jaýy,kätip: 75-67-50 nobatçy: 75-58-30,1961ý
12,Aşgabat şäheriniň Magtymguly şaýolunyň 61-nji jaýy,94-06-14,1937ý
13,Bitarap Türkmenistan şaýolynyň 130-njy jaýy,müdir: 21-80-22kätip-Nobatçy: 21-82-48,2006ý
14,Aşgabat şäheriniň Hoja Ahmet Ýasawy köçesiniň 258-nji jaýy,müdir:76-18-22 kätip-nobatçy:76-11-23,1951ý
15,Baýmuhammet Garryýew köçesiniň 99-njy jaýy,müdir 93-34-02 okuw müdir 93-34-12kätip-nobatçy 93-34-40,1937ý
16,Aşgabat şäheriniň Mäti Kösäýew koçesiniň 66-njy jaýy,Müdir:93-40-05 Kätip:93-40-05 Okuw müdiri: 93-40-03 Nobatçy:93-40-03,1971ý
17,Türkmenbaşy şaýolunyň 65-nji jaýy,kätip: 22-19-64 nobatçy: 22-19-65,1986ý
